time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1705272292.912013,-2.02,1.04,-9.03,-0.02,-0.05,0.07,31.87
1705272293.051739,-1.97,0.93,-9.03,-0.01,0.02,0.08,31.82
1705272293.1220968,-1.7,0.9,-8.87,0.01,-0.06,0.0,31.78
1705272293.261725,-7.1,2.21,-5.36,-0.29,-4.37,2.72,31.73
1705272293.332327,-13.87,-0.6,-5.72,-2.33,-1.46,-3.15,31.87
1705272293.471779,-1.85,3.1,5.73,-0.32,0.9,-0.46,31.78
1705272293.5420392,-10.22,1.07,1.85,0.75,0.73,0.74,31.82
1705272293.6814778,-7.16,1.15,-3.02,-0.73,4.37,-0.42,31.87
1705272293.752065,-1.18,1.67,-5.94,0.74,2.95,0.42,31.73
1705272293.891977,1.33,0.45,-8.98,0.45,0.38,-0.58,31.78
1705272293.962455,0.45,0.98,-8.51,0.18,0.07,-0.17,31.73
1705272294.102062,0.48,0.34,-9.31,0.09,0.06,-0.05,31.78
1705272294.1724129,3.0,0.28,-11.0,-0.24,-0.19,0.18,31.73
1705272294.3808792,-1.83,6.4,6.49,-3.02,2.39,0.35,31.78
1705272294.589668,-0.85,10.71,2.68,2.16,-0.72,0.3,31.82
1705272294.6600919,-1.21,-0.35,-3.78,4.37,-4.36,-1.69,31.73
1705272294.799664,-4.82,2.41,-17.03,4.12,-3.74,-2.85,31.78
1705272294.870761,-4.21,-0.63,-12.67,1.09,-1.21,0.53,31.82
1705272295.010255,-4.64,-0.49,-9.03,0.32,-0.49,-0.21,31.78
1705272295.080862,-6.57,-0.2,-10.25,0.57,-0.04,-0.05,31.73
1705272295.2205892,-5.12,-2.5,-10.53,0.62,0.69,-0.03,31.87
1705272295.2910311,-1.63,-3.31,-6.55,-0.07,0.35,1.14,31.73
1705272295.430995,-3.48,-1.58,-9.03,-0.35,0.1,0.44,31.82
1705272295.501514,-1.61,-1.95,-5.42,0.15,-0.28,0.56,31.78
1705272295.641311,-12.24,-12.22,0.3,4.37,-4.05,4.37,31.82
1705272295.711909,-8.25,-8.71,-1.69,-2.01,4.37,-1.28,31.68
1705272295.8514812,-9.35,-8.32,-2.84,-0.34,0.42,2.89,31.82
1705272295.922147,-10.39,-2.76,-1.6,-0.02,0.71,-0.46,31.78
1705272296.06176,60.0,-4.74,-1.58,-0.78,0.16,-0.98,31.73
1705272296.132066,-5.0,-5.23,-0.53,-2.61,1.28,0.35,31.78
1705272296.340897,-7.59,-4.19,-3.68,-0.03,1.06,-0.62,31.73
1705272296.4116638,-7.35,-4.63,-5.17,-0.11,0.89,-0.78,31.78
1705272296.551869,-5.01,-7.47,-5.81,-1.19,0.38,-0.47,31.92
1705272296.62258,-6.0,-4.64,-7.11,-1.88,4.37,-0.33,31.78
1705272296.762605,-4.41,-1.67,-14.59,-2.63,-3.61,-0.61,31.82
1705272296.8341382,-3.09,-1.58,-9.8,-1.72,-2.66,0.92,31.78
1705272296.974556,1.65,-0.87,-0.35,-2.79,-1.61,1.71,31.82
1705272297.045781,-5.55,0.85,-14.89,-4.37,4.37,1.79,31.73
1705272297.1858292,-6.31,8.88,-1.77,-3.8,1.55,-2.19,31.78
1705272297.256598,-1.55,6.35,19.61,-4.37,-0.4,-1.63,31.73
1705272297.396806,0.22,5.14,6.41,-0.23,-0.82,0.6,31.68
1705272297.4680471,-1.04,7.95,8.15,3.3,-0.69,1.46,31.73
1705272297.549921,1.37,8.32,4.93,2.84,-0.31,0.21,31.78
1705272297.6946099,-5.79,4.07,-10.26,4.37,-3.06,0.08,31.82
1705272297.766003,-3.18,4.19,-18.2,2.4,-2.62,0.2,31.78
1705272297.9072351,1.13,3.14,-12.51,-0.15,-0.48,-0.15,31.64
1705272297.9781618,-0.06,7.35,0.63,-1.93,-3.33,-1.71,31.82
1705272298.118704,-9.73,7.23,0.96,0.91,-4.37,-4.22,31.78
1705272298.1895528,-4.88,4.29,2.32,-0.05,-2.02,-1.72,31.73
1705272298.399852,-13.5,2.42,1.32,0.08,4.37,2.69,31.64
1705272298.470577,-5.81,5.87,0.43,3.64,4.37,2.33,31.78
1705272298.610892,-1.18,5.76,-4.75,0.12,1.73,1.22,31.82
1705272298.681748,0.01,5.37,-5.45,-2.36,2.08,1.31,31.78
1705272298.82257,1.73,8.07,-9.47,-4.37,-1.32,-0.6,31.73
1705272298.8933818,-5.58,2.94,19.61,-4.37,4.37,3.57,31.73
1705272299.0341172,-1.25,4.63,12.56,-1.18,-0.76,1.5,31.82
1705272299.105647,-1.6,6.11,12.25,0.85,-0.47,0.05,31.73
1705272299.246325,2.78,5.89,9.11,4.37,-0.9,0.51,31.78
1705272299.317236,-0.48,-3.49,-4.26,4.37,-4.23,-3.08,31.73
1705272299.457618,-6.21,0.21,-11.34,4.37,-2.87,-1.71,31.68
1705272299.5286431,-4.59,-0.88,-8.49,-1.73,0.7,0.41,31.73
1705272299.738438,-6.81,-2.44,-2.31,1.16,-1.1,1.03,31.73
1705272299.8097339,-4.65,-7.52,-10.99,0.72,-0.99,-0.98,31.82
1705272299.9499059,-4.7,-5.89,-8.87,-0.3,0.41,-0.25,31.78
1705272300.020768,-4.21,-4.16,-7.52,-1.14,0.37,1.18,31.73
1705272300.160956,-6.68,-3.94,-12.77,-4.37,3.08,3.64,31.78
1705272300.231601,-1.21,1.45,-5.3,1.25,-1.6,-0.03,31.73
1705272300.371865,2.87,-0.12,3.51,4.37,1.79,-2.57,31.68
1705272300.4427361,-6.85,-3.9,-12.46,0.61,-3.73,-0.9,31.73
1705272300.58286,-1.61,-7.56,-5.19,-0.35,2.46,2.22,31.68
1705272300.653661,-0.63,-9.97,-6.18,2.53,-1.47,-2.3,31.64
1705272300.7941859,-3.32,-12.88,-1.91,4.37,-4.37,1.7,31.73
1705272300.865335,-3.58,-8.15,3.59,1.25,0.94,-0.22,31.68
1705272301.0053608,-4.46,-8.55,3.99,-1.17,-0.2,0.04,31.82
1705272301.0761979,-3.45,-6.72,0.54,-3.88,3.36,1.3,31.68
1705272301.146762,-5.47,-6.86,-3.73,-2.14,-0.54,0.92,31.73
1705272301.287185,-6.31,-4.61,-11.66,-3.46,4.37,0.59,31.68
1705272301.358259,-1.33,-3.91,-9.16,-0.28,-3.51,-2.23,31.82
1705272301.4988039,-4.36,-0.91,-6.09,-1.24,-0.99,2.66,31.68
1705272301.56965,-5.55,-0.95,-7.35,-0.89,-3.71,2.44,31.64
1705272301.71009,-6.51,-0.26,-5.88,-0.47,2.62,-0.62,31.73
1705272301.781285,-13.1,0.97,-5.03,0.19,-4.37,1.01,31.78
1705272301.921997,-15.94,-1.8,-14.8,2.64,-4.37,4.22,31.73
1705272301.992961,-10.99,4.52,3.3,-2.08,2.31,-0.35,31.68
1705272302.133446,-11.24,2.9,-2.78,0.23,4.37,-1.03,31.64
