time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
1705272253.804778,-0.99,2.39,-9.19,0.01,0.04,0.07,32.06
1705272253.875249,-1.05,2.31,-9.12,-0.01,0.01,0.03,32.06
1705272254.014293,-1.16,2.33,-9.02,-0.02,-0.01,0.05,31.92
1705272254.084797,-1.0,2.38,-9.16,-0.02,0.01,0.07,31.97
1705272254.224187,-1.19,2.46,-9.45,-0.1,0.05,0.1,32.01
1705272254.294198,-0.47,2.8,-10.55,0.89,4.37,-1.05,32.06
1705272254.433706,3.29,3.51,-0.83,0.93,4.37,-0.12,32.01
1705272254.5117152,10.09,1.11,2.79,-0.32,-1.97,0.02,31.97
1705272254.6585011,8.0,-0.01,-4.32,-1.45,-4.37,0.85,32.11
1705272254.72925,-4.86,2.73,-14.5,-1.37,-4.37,1.8,31.97
1705272254.799571,-2.84,3.39,-10.04,-0.05,-2.66,0.28,32.06
1705272254.939015,-2.64,2.85,-9.63,0.34,1.06,-0.57,32.01
1705272255.009443,-1.34,2.11,-9.0,0.1,0.6,-0.13,31.97
1705272255.14865,-1.41,2.34,-9.19,0.02,-0.03,0.08,32.01
1705272255.219015,-1.32,2.22,-9.28,-0.02,0.02,0.02,32.06
1705272255.358382,-0.3,1.16,-13.83,4.35,4.37,-4.36,32.11
1705272255.428961,8.18,0.4,2.37,0.53,-0.34,-0.74,32.06
1705272255.567977,7.35,2.26,-3.19,-0.46,0.16,0.59,32.11
1705272255.638731,12.94,-2.06,-3.21,-1.8,-4.37,0.2,31.97
1705272255.7781289,2.16,0.93,-8.71,-1.55,-3.72,0.96,32.01
1705272255.848574,-1.18,2.8,-8.79,-0.13,-0.13,0.14,32.01
1705272255.9889019,-1.69,2.73,-9.17,0.04,0.43,0.02,32.01
1705272256.062272,0.49,2.31,-9.8,-0.09,1.57,-0.02,32.01
1705272256.202027,-4.35,3.87,-10.53,4.37,4.37,-2.21,31.97
1705272256.272504,8.73,0.97,6.48,0.46,2.34,0.05,31.92
1705272256.480653,8.59,2.15,5.93,-0.15,0.74,-0.26,32.11
1705272256.5508878,7.81,2.35,6.88,-0.23,-0.89,-0.4,32.06
1705272256.690284,8.99,-2.07,6.52,-2.68,-4.37,0.24,32.01
1705272256.7606,0.76,4.11,-11.17,-2.07,-1.66,0.28,32.11
1705272256.899897,0.92,3.91,-8.92,0.26,-0.08,-0.77,32.06
1705272256.970416,3.21,2.65,-7.59,0.32,0.58,-0.49,32.01
1705272257.1098182,3.19,2.56,-10.19,0.21,0.26,-0.45,32.06
1705272257.180414,-5.1,4.48,-9.5,-2.95,4.37,-1.16,31.92
1705272257.319513,1.85,4.86,0.61,0.08,-0.17,0.12,32.06
1705272257.3900568,9.95,1.12,7.98,-0.1,0.19,0.12,32.11
1705272257.5293179,8.45,2.72,6.6,0.32,-2.04,-0.41,32.06
1705272257.5995882,4.33,0.05,4.8,-0.86,-4.37,0.65,31.92
1705272257.738955,-11.3,7.57,-19.61,1.99,-4.37,-0.45,32.01
1705272257.809931,-3.59,2.14,-12.74,0.63,0.29,-0.85,32.06
1705272257.94928,-0.85,1.79,-9.26,0.05,1.14,0.21,32.01
1705272258.019588,-1.4,2.46,-8.74,-0.25,0.4,0.3,31.97
